size,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64
2k,4009.7,3932.6,4005.7,3651.7,3712.6,3783.2,4165.2,4260.3,3238,3394.9,4643,3394.9,3919.1,3644.5,4526.5,3195.2,3994,3761,3561.3,3394.9,2421.4,3095.3,2962.2,2121.8,2695.9,2596.1,2496.2,2429.7,2329.8,2263.3,2196.7,2130.1,2063.6,1997,1930.4,1863.9,1830.6,1764,1730.7,1697.4,1630.9,1597.6,1564.3,1531,2246.6,1464.5,1431.2,1397.9,1364.6,1331.3,1331.3,1298,1264.8,1231.5,1847.2,1198.2,1164.9,1164.9,1131.6,1131.6,1647.5,1098.3,1597.6,798.8
4k,4049.4,4009.7,3894.1,3932.6,3894.1,3783.2,3894.1,3932.6,4130.2,3712.6,3714.4,3783.2,3931.6,4165.2,3407.4,3651.7,3994,4533.2,4293.5,4073.9,3894.1,3714.4,4443.3,3394.9,4068.9,3135.3,3769.3,3644.5,4692.9,3394.9,3295,4260.3,3095.3,2995.5,2920.6,2820.8,2745.9,2671,2621.1,3394.9,2471.3,2421.4,2371.4,3095.3,3028.8,2962.2,2895.6,2829.1,2762.5,2695.9,2662.7,1947.1,2562.8,2496.2,2463,2429.7,2363.1,2329.8,2296.5,2263.3,2230,2196.7,2163.4,2130.1
8k,4049.4,4049.4,4008.7,4009.7,3989.1,3894.1,3894.1,3932.6,3950.6,3894.1,3909.9,3783.2,3931.6,3894.1,3894.1,3651.7,3430.6,3786,3586.3,3712.6,3540.1,3714.4,3554.7,3783.2,3627.9,3494.7,3781.8,3644.5,4022.5,3407.4,3295,3195.2,4127.1,3994,3894.1,4533.2,4413.4,4293.5,3494.7,5092.3,3974,3894.1,3794.3,3714.4,3634.5,2962.2,3474.8,2829.1,4168.7,2712.6,3994,3135.3,3075.4,3769.3,2955.6,2915.6,3569.6,2815.8,2755.9,2715.9,2676,3295,3245.1,2556.2
16k,4059.4,4049.4,4039.1,4009.7,3989.1,4008.7,4028.4,3932.6,3950.6,3989.1,3912.5,3894.1,3931.6,3894.1,3894.1,3932.6,3846.2,3786,3912.3,3894.1,3894.1,3909.9,3741.7,3783.2,3633.4,3931.6,3781.8,3894.1,3754.4,3894.1,3765.8,3651.7,3809.7,3694.4,3894.1,3786,3677.8,3586.3,3812.5,3712.6,3621.8,3540.1,3458.4,3714.4,3634.5,3554.7,3860.9,3783.2,3705.5,3627.9,3561.3,3931.6,3856.7,4322.1,3295,4165.2,4093.8,3519.7,3951.2,3407.4,3822.8,3295,3708.7,4260.3
32k,4069.5,4059.4,4054.1,4049.4,4039,4039.1,4029.3,4009.7,3994,3989.1,4018.3,4008.7,3994,4028.4,3964.9,4009.7,3926.8,3950.6,4003.3,3894.1,3994,3912.5,3949.6,3894.1,3963.7,3931.6,3907,3894.1,3887.3,3894.1,3908.9,3786.9,3809.7,3846.2,3894.1,3950.6,3842.1,3912.3,3812.5,3894.1,3799.1,3708.7,3804.3,3909.9,3825.8,3741.7,3866.4,4005.7,3923.5,3847.2,4006.5,3931.6,4113.8,4033.9,3960.7,3894.1,3820.9,4022.5,3694.4,3894.1,4124.6,3765.8,3994,3932.6
64k,4069.5,4069.5,4061.9,4059.4,4051.8,4054.1,4046.7,4089.9,4038.9,4039,4046.3,4039.1,4026.7,3994.9,4002.2,4009.7,4009.6,3994,4004.4,3989.1,4045.9,4018.3,4006.7,4008.7,4026.3,3994,3972.7,3960.1,4027.9,3964.9,3982.7,3932.6,3964,3926.8,3977,3950.6,4019,3912.3,3994,3989.1,3989,3894.1,4004.5,3912.5,3929.2,3949.6,3976.9,3894.1,3926.5,3963.7,4009.6,3931.6,3856.7,3907,3836.2,3894.1,3956.1,3887.3,3958.3,3894.1,3830,3908.9,3846.1,3932.6
128k,4072,4072,4069.4,4069.5,4064.4,4061.9,4055.5,4059.4,4050.5,4051.8,4060.4,4054.1,4042.9,4046.7,4058.1,4049.4,4030.6,4038.9,4051.6,4039,4046.5,4046.3,4035.1,4069.3,4026.3,4026.7,4038.9,4029.3,4028.8,4002.2,4020.6,4009.7,4005.1,4009.6,3977,3994,4019,4004.4,3994,4038.4,3989,3994,4004.5,4018.3,3983.1,4006.7,4034.5,3950.6,3985.1,3965.3,4009.6,3994,3982.7,3972.7,4032.9,4028.4,3957.8,4027.9,3960.1,3964.9,3971.8,3982.7,3994,3932.6
256k,4073.3,4073.3,4071.4,4069.5,4070.7,4069.4,4068.9,4069.5,4061.9,4064.4,4067.6,4069.4,4059.2,4064.3,4067.5,4059.4,4062.5,4061.8,4051.9,4064.4,4060,4060.4,4064.2,4054.1,4057.9,4059.2,4056.2,4046.7,4047.3,4058.1,4059.3,4049.4,4046.5,4051.8,4042,4038.9,4041.9,4027.9,4042.7,4039,4040.1,4046.5,4031,4019,4039.1,4035.1,4035.2,4039.1,4015.8,4026.3,4041.2,4026.7,4015.1,4038.9,4032.9,3994.9,4028.2,4028.8,3996.7,4002.2,4009.9,4020.6,3995,4009.7
512k,4073.9,4072.7,4072.3,4072,4073.9,4071.4,4071.1,4067,4067.6,4067.5,4071,4069.4,4063.4,4064.4,4072.3,4064.4,4062.5,4067.6,4069.8,4070.7,4066.6,4060.6,4064.4,4069.4,4065.9,4067.4,4064.7,4064.3,4056.4,4058.1,4059.3,4059.4,4057.1,4062.5,4053.3,4061.8,4053.8,4063.8,4055.2,4051.8,4053.3,4046.8,4057.9,4046.6,4053.1,4049.8,4050.3,4054.1,4046.6,4057.9,4057.1,4042.9,4048,4056.2,4050.1,4046.7,4045.9,4047.3,4051.4,4039.3,4047.7,4039.9,4053.4,4029.4
1024k,4072.4,4073,4073.3,4072,4073.1,4072.3,4073.3,4069.5,4060.5,4072.3,4057.2,4069.5,4059.4,4057.8,4062.9,4046.9,4057.1,4056.2,4045.9,4054.9,4053.4,4071,4068.1,4069.4,4070,4071.6,4069,4068.9,4070.2,4067.5,4064.3,4064.4,4067.6,4073.2,4069.9,4073.3,4065.6,4069.8,4067.5,4064.4,4066.3,4066.6,4064.8,4067.6,4067.5,4064.4,4065.1,4069.4,4062.1,4058,4073.2,4075.7,4073.1,4073.3,4058.9,4073.2,4054.8,4065.5,4060.7,4058.1,4067.1,4059.3,4063.3,3668
